Gene names,Intensity,Intensity S1,Intensity S10,Intensity S11,Intensity S12,Intensity S13,Intensity S14,Intensity S15,Intensity S16,Intensity S17,Intensity S18,Intensity S19,Intensity S2,Intensity S20,Intensity S21,Intensity S22,Intensity S23,Intensity S24,Intensity S25,Intensity S26,Intensity S27,Intensity S28,Intensity S29,Intensity S3,Intensity S30,Intensity S31,Intensity S32,Intensity S33,Intensity S34,Intensity S35,Intensity S36,Intensity S37,Intensity S38,Intensity S4,Intensity S5,Intensity S6,Intensity S7,Intensity S8,Intensity S9
ELOF1,12133000000,372500000,296010000,345410000,317420000,509280000,381620000,329980000,346890000,426950000,412790000,411580000,365500000,0,390450000,348670000,393060000,0,217910000,405810000,295850000,387200000,365390000,340920000,343990000,412600000,308830000,225370000,337080000,143460000,248690000,219240000,212360000,382670000,288340000,255130000,343150000,472960000,277970000
RBM47,1036600000,16994000,30352000,49092000,137950000,13210000,0,27123000,28981000,36555000,39218000,18171000,25402000,0,0,0,0,0,10832000,0,30614000,24593000,40379000,22532000,40365000,52076000,57126000,0,29154000,0,0,0,0,26371000,0,16067000,99378000,130560000,33496000
UBA6,2.1064E+11,6067300000,5932000000,6813200000,6370100000,6077700000,6222800000,6519700000,5555800000,6687500000,6691700000,5724000000,6131300000,887700000,7134800000,4469700000,6064200000,982250,4006900000,4784800000,4805100000,6396700000,6061200000,7133200000,5810500000,6808700000,5751200000,3596800000,4981500000,3204400000,3421800000,4195600000,3808700000,6621800000,5422000000,6983600000,7959400000,9744400000,5792400000
ESYT2,61161000000,1620700000,3117400000,1583200000,2296000000,1825200000,1654300000,2049800000,1933500000,3529100000,1976600000,978840000,1889500000,42433000,1288500000,1494800000,1439700000,231940,692200000,1108800000,807100000,1123400000,2017700000,1802000000,2583200000,1901700000,1544600000,1597400000,1599900000,852880000,887670000,1440300000,1214800000,1697000000,1343400000,1124000000,1532700000,2239600000,3330400000
MED19,1714400000,58942000,81109000,49477000,45069000,65779000,44317000,62388000,52647000,90905000,51236000,56812000,0,0,66362000,0,118080000,0,33333000,0,0,122110000,0,84480000,75815000,52243000,72268000,52773000,0,0,0,63101000,0,97151000,0,46953000,78486000,29109000,63477000
UHRF1BP1L,4439000000,61247000,17413000,0,13317000,18951000,39810000,11548000,47177000,24492000,36450000,0,25787000,0,34141000,59327000,40789000,0,24392000,35457000,23682000,69495000,41584000,25421000,0,32149000,72634000,28538000,1091300000,455740000,521470000,600480000,662890000,98179000,20952000,24415000,74985000,104760000,0
KIAA1598,57115000000,1378900000,1944100000,3017000000,2500300000,1479800000,1355300000,2091500000,1618300000,1255700000,1205400000,1997800000,1817500000,905400000,532110000,656070000,865220000,0,1237200000,1047800000,1399400000,1714900000,1762300000,2061700000,1723100000,1191100000,1383900000,1239200000,1249400000,630120000,508770000,855680000,757900000,2213100000,954200000,2320900000,2932300000,3746000000,1565600000
TMEM223,1723900000,83151000,78696000,60538000,66311000,55680000,47965000,20224000,38285000,91299000,64316000,39268000,88771000,0,52835000,35173000,70112000,0,38976000,47286000,0,71958000,25429000,86404000,31033000,69309000,36202000,35550000,42505000,20826000,54297000,33198000,26099000,0,42524000,33779000,0,76012000,59861000
TMEM120B,382810000,0,39407000,0,0,65494000,0,26738000,0,0,0,0,0,0,0,0,40919000,0,0,0,0,0,0,52697000,0,45258000,0,0,0,0,0,0,0,0,32111000,0,0,46949000,33234000
ARHGAP10,8796800000,178250000,205040000,227110000,348210000,372930000,287460000,275890000,265230000,315400000,287270000,140170000,146080000,24139000,356070000,198050000,251390000,0,187660000,212760000,197230000,252660000,320350000,185560000,234320000,354300000,375900000,169950000,288670000,181370000,194690000,256430000,165180000,208800000,207910000,184670000,209520000,197150000,333060000
ANO9,2466300000,0,0,113330000,0,0,0,0,108600000,88888000,68673000,248440000,0,0,0,0,61001000,0,77453000,97709000,0,0,0,0,0,0,47649000,134150000,154880000,231390000,231210000,258570000,183130000,79362000,0,161540000,120310000,0,0
MEX3A,10117000000,352300000,291420000,262540000,457320000,212380000,224160000,227560000,168170000,127320000,243360000,211320000,194780000,78069000,313770000,258670000,429040000,0,197390000,271030000,734930000,649570000,299270000,228920000,326060000,395930000,261690000,115450000,269260000,117540000,184900000,285640000,241920000,190010000,240430000,365860000,203680000,225750000,259650000
ILVBL,49305000000,1484700000,1739600000,1275800000,1503100000,1259000000,1157800000,1269900000,1175600000,1251000000,1131400000,1226100000,1293900000,343630000,1313500000,1394400000,1754400000,0,939520000,1201100000,424580000,1026600000,1505900000,1472000000,1525100000,1648700000,1289800000,1513900000,1468600000,1161200000,1072100000,1705200000,1258400000,1480100000,1477100000,1318600000,1706400000,2122200000,1413900000
PLEKHG3,9766100000,193150000,350680000,460160000,545940000,267710000,183050000,231760000,230030000,274450000,178240000,314700000,202570000,24301000,278550000,261050000,299770000,0,217480000,303090000,273310000,237910000,487480000,261220000,617710000,375110000,363380000,255750000,268320000,79127000,43891000,100060000,140460000,206750000,192360000,229110000,260550000,280680000,276260000
ELOVL7,111850000,0,11217000,46596000,54042000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3PXD2B,54228000000,2139200000,1448700000,1132900000,1225400000,1799800000,1514000000,1357600000,1331700000,1161500000,1123700000,1902600000,2208200000,163600000,1266900000,1370700000,1505500000,0,1159800000,1591800000,2163700000,2364100000,1908400000,1833300000,1493900000,1601300000,1193700000,987830000,1475400000,1105900000,1165500000,1483200000,1209800000,1835000000,1107300000,1283200000,1201200000,1549300000,1862500000
FAM92A1,438630000,25540000,0,36179000,0,0,24980000,0,13422000,22816000,0,40413000,0,0,0,0,0,0,0,31213000,39349000,0,28955000,35872000,0,0,0,0,0,0,0,0,38183000,30398000,30420000,0,0,40889000,0
MACROD2,371290000,0,17963000,0,0,26644000,24454000,0,8386200,18704000,19736000,0,15646000,0,0,0,10680000,0,10941000,0,32846000,44286000,21286000,22816000,0,0,0,0,0,0,0,0,0,28578000,0,30897000,20271000,0,17156000
SYNGR1,1643100000,55960000,67993000,35966000,38827000,42445000,47470000,65078000,58870000,40811000,45560000,36096000,36829000,0,57038000,50083000,45520000,0,29773000,0,28037000,20940000,52884000,49793000,58187000,48761000,55323000,45285000,51195000,59911000,60781000,66003000,61727000,41073000,24500000,28642000,42023000,36192000,57541000
RALGAPB,7632400000,202480000,274020000,181910000,274480000,110550000,163700000,283620000,190630000,151510000,125010000,203940000,142350000,123290000,258810000,236250000,400370000,0,65931000,287360000,233500000,314400000,374290000,174870000,328000000,187980000,217680000,116230000,116990000,107620000,200390000,72010000,69456000,149660000,202010000,89172000,217060000,556230000,228610000
ALG6,5520800000,153980000,194680000,133520000,138910000,108160000,84787000,130680000,104230000,158250000,128860000,151390000,169830000,0,186120000,143630000,219240000,0,91432000,128590000,295080000,359140000,240670000,177120000,161430000,108030000,104790000,71969000,125170000,109570000,131140000,195390000,128240000,149320000,148260000,114360000,159500000,190210000,125150000
RTFDC1,9594500000,303630000,225650000,253650000,283870000,274810000,307730000,296010000,270090000,282380000,341950000,286500000,299400000,67721000,282170000,208430000,361750000,719250,171830000,310250000,189780000,130860000,343100000,366220000,266290000,246220000,153640000,296900000,285820000,199140000,201300000,265700000,223430000,290200000,265630000,243760000,230920000,305070000,261970000
AAR2,9295500000,208960000,290810000,215780000,319140000,275560000,281460000,335200000,245950000,251070000,202340000,334080000,173260000,128280000,311730000,173290000,420030000,0,71214000,327060000,227640000,289310000,346380000,291890000,187480000,324950000,208710000,131810000,209620000,195660000,172060000,259680000,191830000,300910000,290920000,350640000,245820000,341150000,163890000
PRNP,16375000000,438130000,535590000,504100000,471650000,452450000,305830000,618460000,753200000,1104600000,956610000,559600000,517170000,99211000,413340000,333690000,241040000,0,147640000,307990000,152130000,117140000,370380000,389920000,411680000,309120000,258060000,242950000,359750000,235810000,201990000,279150000,263690000,536450000,416280000,607680000,817030000,1161500000,484330000
TBC1D32,2130700000,45112000,73248000,78210000,63407000,85039000,0,82323000,34639000,88558000,0,54340000,47237000,0,67537000,61470000,52335000,0,47766000,130260000,64373000,54963000,105640000,47440000,93453000,90277000,67875000,33290000,52678000,22005000,32602000,45440000,48077000,57202000,55229000,83888000,45756000,72658000,46400000
PIPSL,2584900000,111420000,37688000,60016000,33913000,77390000,31565000,34887000,59825000,47657000,49003000,59287000,86686000,0,84113000,68685000,101020000,0,30970000,63451000,115520000,132430000,119580000,89893000,68893000,90268000,41459000,56745000,89923000,36292000,21787000,112050000,110610000,113810000,71739000,95910000,61267000,54104000,65098000
ADD1,54698000000,1706200000,1029300000,1048200000,1493500000,1430600000,1183300000,968590000,1268400000,1084200000,1097900000,1680700000,1622700000,141510000,1480200000,1201400000,2065900000,0,1293100000,1792900000,2473900000,2765100000,1642500000,1623700000,2036700000,1807800000,1653000000,1097400000,1559400000,1265000000,1542200000,1878900000,1493100000,1728300000,1308900000,1192600000,889530000,1249900000,1900900000
PHF1,1606700000,54588000,39073000,81191000,28686000,60405000,70727000,92128000,57503000,72733000,49283000,25623000,46069000,0,28607000,55522000,29890000,0,10307000,18818000,46552000,31705000,38782000,113680000,18288000,21934000,29023000,32799000,11792000,16399000,19804000,0,28651000,80089000,20818000,69384000,65145000,75946000,64708000
TAPBP,3598400000,65100000,97029000,148680000,70715000,100160000,181090000,61810000,51728000,236370000,93023000,40713000,98075000,53320000,0,71586000,0,0,41962000,199190000,19627000,0,92826000,164910000,229390000,54001000,105300000,27575000,19574000,0,65872000,0,109850000,161410000,124000000,183500000,213280000,270320000,146410000
EHMT2,15243000000,500930000,389480000,243010000,386920000,448380000,406980000,334620000,270460000,302500000,326250000,278360000,361100000,198030000,578490000,428520000,698330000,0,284460000,474880000,560650000,852140000,570120000,260980000,237300000,571950000,601430000,415200000,450760000,263700000,622640000,568830000,349570000,362760000,363140000,385690000,265210000,226420000,402920000
HLA-C,26504000000,1405000000,94907000,1002500000,837630000,530350000,645850000,1145600000,1009900000,100470000,29426000,945610000,1573400000,811990000,906740000,236560000,433680000,0,86586000,333130000,72693000,69272000,692530000,1130100000,711950000,158530000,355580000,463730000,499590000,0,0,452080000,328110000,1056900000,1074200000,2060100000,2426300000,2450300000,372770000
NBAS,25715000000,721770000,847810000,690290000,736860000,884500000,762540000,741100000,625050000,649650000,742370000,704520000,689600000,72837000,918770000,717010000,947140000,0,446900000,634830000,414260000,705330000,809360000,728610000,620400000,862030000,619650000,592920000,734700000,543800000,488400000,793060000,562010000,765490000,799920000,619720000,723620000,949790000,848200000
TARSL2,1676700000,28043000,63521000,24587000,54915000,55792000,61247000,33767000,13690000,58583000,44472000,23679000,48363000,0,52168000,55357000,52563000,0,32938000,32650000,62988000,97332000,26253000,49021000,37570000,57643000,54300000,52208000,64453000,48957000,54366000,48986000,38657000,61797000,50336000,26027000,19627000,66341000,23518000
TYW5,2955300000,126100000,102740000,106550000,60183000,77638000,73279000,94745000,87743000,43304000,95610000,92404000,137280000,63368000,0,0,79640000,0,49950000,78518000,107050000,124310000,35330000,158990000,104730000,98828000,74683000,41002000,0,65109000,48555000,96638000,86503000,96713000,66473000,44626000,110050000,104660000,121970000
EXOSC2,15794000000,566170000,539900000,310210000,340380000,542320000,438210000,321740000,354820000,545080000,385890000,342130000,396950000,47621000,542860000,271600000,526920000,321540,314790000,329730000,397850000,669230000,492700000,421690000,340610000,360970000,284550000,341760000,364290000,547430000,545120000,543750000,437390000,393270000,725490000,465100000,436870000,428610000,479390000
VWA8,19094000000,374560000,386540000,396430000,420650000,696400000,691940000,379830000,339140000,636600000,622920000,412250000,443890000,14299000,772870000,671960000,433880000,0,213100000,399050000,442180000,512570000,799650000,648470000,658430000,813230000,674190000,478660000,511490000,594750000,627380000,714610000,555100000,594520000,347350000,514330000,343770000,469300000,487680000
SBNO1,3319600000,105670000,116690000,96071000,58964000,99120000,107570000,72786000,248230000,77607000,58394000,45537000,23152000,15944000,131690000,44976000,41176000,364950,31033000,62577000,49938000,244210000,43942000,63319000,56573000,37318000,224720000,20056000,102140000,152970000,133250000,84796000,79202000,314250000,91218000,30009000,31766000,51027000,71322000
ISPD,944560000,12995000,47351000,23824000,58371000,44813000,39635000,16068000,0,46525000,21396000,30879000,0,0,25141000,33305000,33779000,0,0,0,0,0,25936000,0,25778000,31282000,0,32585000,81644000,28611000,0,55999000,67833000,16849000,19102000,27641000,19989000,21823000,55409000
GTPBP10,8398000000,282870000,212050000,121370000,176580000,278350000,241940000,245760000,193130000,254020000,212120000,271090000,290100000,0,229080000,187250000,240680000,0,125990000,170900000,134630000,389450000,168330000,347670000,139990000,336530000,211830000,173870000,225670000,145310000,166740000,341520000,246890000,282910000,205460000,241940000,239070000,399350000,267570000
WDR91,4968000000,135010000,114370000,287220000,134170000,84276000,115790000,94670000,99236000,68184000,78748000,132960000,102950000,0,180090000,115890000,255530000,0,66264000,139540000,174650000,295760000,204640000,58733000,181480000,232030000,102830000,78267000,127580000,170990000,178520000,200870000,160720000,56282000,71660000,74228000,93801000,223610000,76429000
UCC1;EPDR1,11246000000,227380000,315760000,173440000,409460000,304520000,287820000,218320000,226260000,228410000,249330000,379030000,289860000,47995000,508670000,460050000,295180000,2016000,216430000,238680000,443170000,397770000,165730000,94546000,222050000,239370000,160920000,408720000,339550000,687980000,669000000,286280000,300640000,148950000,331350000,430850000,249140000,300320000,291500000
MBLAC1,504950000,22870000,18755000,25474000,12706000,18879000,14625000,14359000,21571000,16484000,11774000,0,19213000,0,0,11966000,21601000,0,6333800,16304000,19107000,17718000,13649000,13946000,12103000,19119000,14595000,0,0,11248000,0,0,0,13417000,11891000,21353000,37840000,32591000,13458000
SUN1;UNC84A,56873000000,2090800000,1477900000,1790100000,1442700000,1309800000,1374300000,1395800000,1331500000,1770400000,1565500000,1963100000,1731500000,28889000,1721700000,1652200000,1511300000,0,1096900000,1988900000,1180400000,1303100000,1960500000,1996700000,1609200000,2017500000,1317400000,1134300000,1286600000,766710000,1100200000,1284000000,1376800000,1695300000,1431700000,1637600000,1980800000,2775100000,1775700000
XIRP2,12466000000,203260000,191770000,170420000,471290000,649080000,624520000,207990000,171570000,695570000,213310000,219370000,218360000,455850000,133560000,187080000,289370000,0,513350000,188010000,224830000,201680000,740340000,195720000,210870000,210960000,282640000,225480000,225570000,181590000,209140000,259940000,805870000,192930000,139540000,276090000,621360000,818180000,639730000
POTEF,3441900000,0,0,36904000,94504000,165220000,0,60934000,153230000,99161000,172760000,32051000,0,0,0,33885000,63809000,0,173140000,0,0,0,60049000,118940000,127580000,0,66645000,454740000,322280000,159830000,184950000,162450000,308640000,43910000,0,48287000,84936000,0,213100000
VPS37C,2393600000,81024000,68289000,76874000,108800000,75752000,106640000,0,54035000,17909000,65127000,73724000,70815000,0,86209000,60891000,68956000,0,38916000,74735000,82990000,58764000,59449000,72560000,67237000,108170000,109910000,65470000,98128000,40806000,54761000,43507000,40743000,102280000,0,91129000,65536000,50977000,52512000
KAT6A;MYST3;KAT6B,1820400000,38060000,58578000,67223000,20514000,65662000,34114000,61432000,47516000,56978000,22194000,148250000,47784000,0,0,97345000,30039000,0,29807000,0,23811000,195620000,0,39931000,0,33853000,0,20243000,79652000,0,42146000,0,0,212450000,68031000,58406000,65781000,79654000,75291000
TMEM189,2534500000,67519000,113270000,102240000,69233000,30811000,23447000,103600000,37097000,43863000,91350000,64403000,85537000,0,119690000,78414000,100780000,0,58846000,53495000,80938000,75915000,69886000,29835000,115410000,131040000,59995000,41278000,76359000,40552000,28044000,45462000,47267000,90427000,65172000,25765000,85643000,149850000,32088000
TRAPPC13,1943100000,0,99127000,21241000,52414000,61825000,0,21399000,82958000,53552000,26330000,78312000,89211000,0,61649000,35549000,0,0,52821000,51249000,86372000,24264000,81775000,131910000,22190000,21855000,154240000,43795000,0,89609000,70422000,82553000,0,50790000,82635000,31658000,45477000,35897000,99996000
CNOT1,84305000000,2605800000,2274100000,1702300000,2195800000,2406500000,2222500000,1680000000,1577500000,2532900000,1875200000,1568000000,2572800000,58995000,2259000000,2008500000,3135300000,190530,1582600000,2174700000,2675000000,4624400000,2915200000,2452900000,2436800000,2854100000,2404800000,1954400000,2451300000,2265700000,2610000000,2583500000,2059400000,2054200000,2301600000,2487000000,2188400000,2256400000,2297300000
BST1,22006000000,811220000,1109600000,868130000,667930000,562270000,378680000,817550000,605520000,1161500000,1030800000,796510000,990970000,79707000,1121200000,590420000,546580000,0,0,29749000,455190000,238060000,693220000,577270000,627420000,224550000,443860000,453590000,596330000,113900000,119490000,559670000,482470000,331710000,523070000,567430000,864300000,917510000,1048300000
CNTNAP3;CNTNAP3B,5118000000,338360000,0,46088000,266940000,62799000,60914000,67895000,89342000,40989000,57826000,43951000,123720000,37230000,76888000,79848000,61864000,0,56427000,62514000,2177000000,359620000,70149000,39482000,54767000,38212000,37204000,47723000,55324000,343940000,44205000,94296000,61929000,17691000,32386000,0,39731000,30758000,0
FOXO1;FOXO6,449820000,0,13665000,0,0,0,15745000,0,0,14234000,12435000,0,0,0,14884000,0,28200000,0,15046000,0,59445000,15999000,0,0,23011000,33273000,24984000,20178000,29150000,16664000,23242000,23119000,0,9643400,9356800,0,11583000,17987000,17978000
MAP1LC3B;MAP1LC3B2,66113000000,2140100000,1717400000,1511800000,1462300000,2194700000,2333200000,2479000000,2388200000,2087500000,1803300000,2252700000,2343600000,0,2348400000,1645300000,1863900000,10937000,1234600000,2001100000,1891900000,1475700000,1684400000,1961200000,1667300000,1775200000,1659100000,1233500000,1916000000,1317300000,1438400000,2005100000,1615000000,2265700000,1432500000,2123400000,1364500000,1793300000,1675100000
MRPL42,27468000000,851550000,735510000,749570000,753180000,942430000,799660000,816040000,854370000,885270000,825130000,978850000,927900000,0,635320000,673960000,640920000,0,416970000,491520000,591460000,528630000,526800000,700800000,692840000,821800000,653740000,648240000,545270000,714660000,630270000,744700000,574820000,751520000,591010000,1170100000,1274200000,1375100000,954150000
MRPS16,20558000000,458340000,636720000,634200000,548690000,627830000,614880000,535940000,575210000,675200000,557280000,582120000,413240000,0,651750000,584720000,677860000,0,445830000,612550000,555710000,622420000,619920000,588160000,596640000,624150000,574370000,455220000,632690000,424540000,457450000,537940000,461430000,639560000,440570000,434620000,618640000,751980000,689970000
PGP,36644000000,1135100000,1376500000,1327900000,1429500000,1453600000,1247700000,1068900000,753960000,1371300000,1180200000,1157300000,1323400000,0,804510000,388900000,1200200000,27675000,665820000,1036900000,1281900000,1059300000,1363300000,1063500000,1062700000,731250000,693370000,415380000,639970000,279150000,563860000,365670000,264710000,941480000,1293400000,1775100000,1177000000,1444000000,1279200000
MLIP,1235600000,0,0,0,0,70452000,28197000,0,0,0,0,0,43748000,0,0,0,118100000,0,27214000,0,112980000,81126000,0,0,0,90019000,59806000,109140000,85154000,111870000,143920000,0,0,0,43192000,110680000,0,0,0
C5orf51,14078000000,243830000,516160000,205580000,467410000,629190000,369570000,160900000,273090000,319680000,382200000,540200000,396040000,0,330410000,381730000,598700000,0,235820000,238000000,412280000,535240000,440590000,230160000,459410000,625940000,455430000,495280000,516230000,276390000,367950000,273940000,337500000,240540000,200000000,721160000,434690000,346310000,420430000
RCCD1,790270000,18841000,0,30705000,36446000,0,21606000,0,25508000,31081000,38851000,48574000,14560000,0,0,49507000,0,0,13690000,62307000,88255000,32270000,44230000,0,46225000,0,0,66643000,25037000,0,0,0,0,0,0,0,45025000,50912000,0
HCFC1,1.2189E+11,2590000000,3049500000,2479700000,2963600000,3459500000,3340400000,3210800000,2777100000,3445600000,3331200000,2890100000,2711900000,703690000,4235600000,3456800000,4560800000,0,2807400000,3719800000,5651400000,5803600000,4092900000,3043000000,3963300000,4296100000,3838400000,2719300000,3207200000,2874900000,3433400000,3051000000,2640300000,3296400000,2678400000,2623400000,2919800000,2953600000,3068300000
OFD1,2317000000,37417000,25633000,72806000,60050000,58528000,90363000,88292000,55463000,71745000,94302000,81816000,0,0,58996000,59401000,89768000,0,46705000,66218000,126710000,94866000,70177000,49120000,67894000,101440000,63583000,39130000,79513000,53974000,49797000,77299000,42014000,22185000,36448000,48759000,99077000,63300000,74201000
ABI1,43709000000,1112000000,1259400000,1419000000,1578300000,1166600000,554660000,1156700000,1407000000,1137300000,1293000000,874990000,1652100000,0,1376100000,914590000,1072200000,0,1060300000,1211000000,1253300000,1086600000,1560800000,1288800000,1533100000,1158000000,1256700000,961350000,1142000000,874360000,1026100000,925080000,793730000,1350300000,976050000,1509800000,1478400000,1985900000,1303600000
8-Sep,37425000000,706850000,1175600000,1382100000,1962900000,1009800000,968100000,1086500000,949180000,1214000000,1045700000,685320000,813030000,0,889740000,872710000,987970000,0,587860000,823600000,959500000,887980000,1491100000,1051900000,1701300000,1639500000,1432400000,795190000,1094900000,590360000,732290000,785920000,862310000,1042900000,759280000,1159100000,889190000,1309900000,1078600000
NUDT5,2.2028E+11,6973100000,7954700000,7779000000,6334400000,5179100000,5211900000,6389400000,5064800000,7554400000,6186900000,9180200000,8436200000,0,5792700000,4428200000,5844000000,3361100,3632400000,6198700000,5973400000,4838700000,6325200000,7926100000,6247800000,5145200000,4266800000,2870800000,4575100000,2705800000,3149800000,4590000000,2746600000,8135700000,5991200000,8235200000,10262000000,11304000000,6851100000
WBP2,19464000000,659860000,632660000,927370000,569940000,410560000,409440000,902380000,599130000,847990000,677440000,903420000,638160000,0,358600000,187780000,354590000,417000,462540000,567920000,395830000,291600000,476410000,593080000,548810000,442520000,411370000,301100000,323520000,118160000,238270000,457050000,354500000,876400000,473110000,572630000,1079300000,911230000,488790000
PRCC,13479000000,437950000,440360000,395040000,361800000,435440000,459330000,395350000,273420000,434610000,375180000,266290000,392980000,0,291870000,336100000,427840000,0,110190000,294300000,732810000,571690000,198830000,525870000,309460000,276270000,492240000,138970000,406150000,243840000,226020000,232920000,193280000,563640000,262570000,525630000,411790000,607980000,430890000
WIPF3,3667400000,92167000,64941000,57124000,61745000,81850000,101430000,98567000,87197000,114250000,102530000,74793000,122870000,102700000,127330000,187130000,190500000,0,80777000,120420000,0,156360000,118110000,77059000,124990000,49958000,193890000,168450000,66263000,59445000,187530000,81103000,113550000,98532000,0,121160000,50311000,52444000,79895000
DYNLT3,15573000000,620180000,554970000,706110000,520350000,666400000,507380000,568940000,560680000,717440000,612560000,664650000,0,0,471970000,515230000,0,0,277840000,380770000,0,0,528740000,692630000,0,0,0,506000000,575010000,0,0,612260000,525530000,568580000,425610000,569500000,646840000,913410000,662980000
HN1L,1.2478E+11,3155400000,3646000000,3859500000,3926900000,3419300000,3510600000,3566700000,3494100000,3730400000,3842500000,3713600000,3308400000,541310000,3760100000,2816800000,3884000000,0,2251600000,3040200000,4170300000,2889000000,4088600000,3532600000,3817000000,4051200000,3787900000,2529700000,3317700000,1769500000,2131900000,3060900000,2536700000,3762400000,2788600000,4362700000,3841500000,5369300000,3505600000
AP1S2,5024300000,129170000,114030000,82114000,75979000,177040000,177220000,134340000,148600000,161380000,179470000,172190000,164460000,0,235690000,216130000,0,0,0,180520000,0,224880000,185760000,167160000,0,247350000,231770000,0,0,207710000,245090000,219450000,169180000,125450000,117580000,141870000,123950000,136010000,132810000
ZMYM3,18070000000,539560000,502040000,182550000,268740000,429390000,530040000,325020000,353410000,512220000,448110000,372640000,532990000,80196000,530010000,390910000,718230000,0,320530000,376390000,1060400000,1297500000,472510000,533740000,488890000,575210000,539330000,409710000,500570000,347850000,454160000,448980000,637470000,414990000,517290000,573360000,369000000,519780000,495890000
TUBAL3,4070800000,85299000,118300000,136470000,84937000,90467000,82049000,112740000,78663000,110970000,91796000,166360000,142930000,0,171630000,139920000,124530000,0,105910000,119740000,117880000,165950000,143690000,178070000,110250000,148570000,138320000,46739000,65688000,67862000,53153000,81975000,64367000,88858000,120840000,178460000,89406000,157050000,90999000
FBLL1,10620000000,365970000,372530000,273980000,305450000,270100000,233420000,263290000,252210000,309160000,292040000,318070000,289920000,0,298740000,254820000,291970000,0,165470000,212090000,225530000,313430000,269290000,300570000,256620000,321730000,252070000,241560000,314290000,307350000,394750000,410030000,417640000,295150000,272390000,221400000,304380000,384690000,348090000
SMCHD1,96444000000,2300500000,2070900000,1581200000,2080200000,2458600000,2408100000,2091300000,2116000000,2066400000,1964200000,1956400000,1874500000,1333900000,3228300000,2586200000,3968900000,8829800,3947000000,2516900000,3542300000,5217700000,2752300000,1860500000,2358400000,3591600000,2866900000,1944700000,2854700000,2726500000,3181400000,2489900000,1751500000,2097900000,5721700000,2338700000,1995800000,2423500000,2169700000
ARHGAP42,1064500000,0,0,27365000,0,13242000,15262000,40449000,33198000,16654000,0,41418000,11533000,0,44584000,62363000,70935000,0,35802000,61280000,61460000,55601000,17175000,65824000,30781000,26892000,22231000,54372000,63389000,53611000,28880000,17412000,52443000,0,0,0,40337000,0,0
RRN3;RRN3P2,1899000000,56940000,58452000,50561000,62925000,57485000,48860000,35635000,28243000,56271000,42947000,55625000,64306000,0,13088000,10443000,66161000,0,28684000,54176000,57412000,70966000,69151000,46078000,61170000,56011000,76062000,49912000,86047000,76176000,101500000,21708000,15797000,15657000,46376000,81841000,53673000,55543000,67164000
UNC119B,12611000000,321350000,224790000,276670000,407600000,286790000,312950000,330850000,247360000,317340000,230740000,334500000,423160000,0,396650000,368080000,666210000,0,353280000,484500000,698370000,572880000,395090000,258820000,345210000,598440000,454830000,219770000,270140000,218850000,278620000,243650000,230710000,324450000,244630000,497900000,260160000,295960000,220130000
PHKA1,23319000000,444780000,523340000,477990000,561460000,375510000,688040000,512540000,601680000,669880000,541290000,645990000,357730000,457770000,665830000,718220000,644370000,0,405350000,549860000,1039800000,904520000,525570000,431850000,575920000,841540000,863420000,806670000,1113800000,779400000,874940000,824570000,593420000,413240000,422260000,633570000,478730000,729720000,624090000
TOMM7,11828000000,438380000,390250000,431430000,201200000,404570000,371390000,351270000,287610000,457460000,327920000,197270000,498810000,0,240870000,183720000,191880000,0,125640000,164790000,169580000,704340000,218540000,789480000,215560000,235140000,132810000,98059000,152650000,68041000,121010000,616400000,703910000,393750000,379170000,500890000,575430000,350930000,138090000
DOCK11,5285300000,42253000,72733000,35441000,81180000,193800000,227000000,43967000,46820000,92063000,50781000,26975000,63467000,0,265520000,187150000,63885000,108930,83366000,121930000,184680000,313170000,196000000,41673000,152580000,459850000,62156000,203890000,325190000,310380000,534910000,123410000,200830000,54443000,81293000,100420000,69992000,61706000,110310000
METTL15,8655700000,202720000,148290000,185720000,188640000,136130000,360420000,253970000,330650000,220750000,142220000,157250000,184980000,59554000,415740000,375420000,205400000,0,77459000,306850000,338940000,347230000,408050000,221090000,399330000,173900000,339290000,283060000,304590000,185370000,298050000,189360000,115140000,240120000,112410000,117950000,243710000,278010000,107980000
MRPL23,8190000000,81979000,397580000,264320000,321830000,137630000,141630000,50688000,93832000,402890000,150300000,132730000,91856000,0,283560000,324600000,306740000,0,225370000,293500000,301580000,327310000,240100000,129540000,264210000,348110000,277370000,155990000,204200000,267370000,276530000,171270000,188210000,155460000,84920000,280570000,104030000,364920000,347240000
NOC3L,31096000000,1170200000,758990000,1061700000,830810000,969560000,940940000,891260000,781670000,622130000,408330000,1116900000,730970000,150680000,967920000,729810000,815150000,0,489570000,667270000,721320000,1210600000,953570000,1267000000,824900000,992830000,731720000,599300000,815330000,618940000,716950000,1048100000,993360000,1254100000,718680000,691930000,975250000,1124400000,733940000
CCDC85C,4089400000,29545000,76145000,97197000,195150000,112240000,163470000,60922000,6173400,84057000,30650000,45044000,35836000,0,113830000,89921000,124750000,0,57772000,118520000,345070000,302130000,192670000,69692000,105960000,233100000,244260000,98021000,116140000,85716000,106200000,106340000,83119000,73522000,84245000,139230000,67792000,89638000,105350000
